paper_id	strength	significance
elife-92741-v1	convincing	important
elife-96536-v1	compelling	important
elife-90029-v1	convincing	important
elife-98867-v1	solid	valuable
elife-98349-v1	compelling	important
elife-97228-v1	solid	useful
elife-93646-v1	compelling	fundamental
elife-96344-v1	compelling	valuable
elife-101248-v1	solid	valuable
elife-89638-v1	compelling	valuable
elife-99833-v1	solid	valuable
elife-97465-v1	compelling	fundamental
elife-97180-v1	solid	important
elife-100260-v1	convincing	valuable
elife-100011-v1	compelling	important
elife-95488-v1	compelling	important
elife-97083-v1	incomplete	valuable
elife-94884-v1	solid	useful
elife-100086-v1	convincing	important
elife-98900-v1	convincing	important
elife-96312-v1	convincing	valuable
elife-86194-v1	compelling	important
elife-93002-v1	compelling	important
elife-98552-v1	convincing	valuable
elife-96926-v1	compelling	important
elife-93749-v1	compelling	fundamental
elife-100205-v1	incomplete	valuable
elife-102222-v1	solid	important
elife-98654-v1	convincing	important
elife-95521-v1	compelling	important
elife-96810-v1	convincing	important
elife-87517-v1	incomplete	important
elife-92004-v1	compelling	important
elife-96129-v1	compelling	fundamental
elife-91083-v1	incomplete	valuable
elife-93241-v1	inadequate	valuable
elife-92418-v1	solid	useful
elife-100673-v1	compelling	valuable
elife-87369-v1	solid	valuable
elife-97227-v1	compelling	valuable
elife-100173-v1	compelling	important
elife-95510-v1	compelling	important
elife-96284-v1	convincing	important
elife-97543-v1	convincing	important
elife-101401-v1	convincing	important
elife-99341-v1	convincing	valuable
elife-88768-v1	convincing	valuable
elife-88879-v1	solid	valuable
elife-104068-v1	compelling	fundamental
elife-99914-v1	convincing	important
elife-89674-v1	solid	important
elife-89836-v1	convincing	valuable
elife-95296-v1	convincing	important
elife-90046-v1	solid	valuable
elife-93125-v1	convincing	valuable
elife-91596-v1	convincing	valuable
elife-97910-v1	solid	important
elife-99862-v1	convincing	important
elife-99340-v1	solid	important
elife-100449-v1	compelling	important
elife-90414-v1	convincing	important
elife-95547-v1	compelling	important
elife-92493-v1	convincing	important
elife-99711-v1	convincing	fundamental
elife-89892-v1	convincing	valuable
elife-90419-v1	solid	fundamental
elife-89950-v1	convincing	valuable
elife-98081-v1	incomplete	valuable
elife-90296-v1	solid	valuable
elife-98584-v1	solid	important
elife-93168-v1	solid	valuable
elife-96691-v1	solid	valuable
elife-86978-v1	incomplete	useful
elife-96566-v1	convincing	important
elife-93778-v1	solid	important
elife-96338-v1	incomplete	valuable
elife-92091-v1	solid	valuable
elife-93764-v1	convincing	valuable
elife-101269-v1	convincing	important
elife-96603-v1	solid	useful
elife-99040-v1	convincing	important
elife-100256-v1	convincing	important
elife-96140-v1	solid	valuable
elife-102912-v1	solid	important
elife-93518-v1	convincing	important
elife-94334-v1	convincing	important
elife-97229-v1	compelling	important
elife-88810-v1	solid	valuable
elife-93117-v1	convincing	important
elife-97552-v1	convincing	important
elife-101439-v1	solid	useful
elife-94425-v1	compelling	important
elife-94296-v1	convincing	important
elife-97085-v1	solid	important
elife-96821-v1	compelling	important
elife-98016-v1	convincing	important
elife-98250-v1	convincing	valuable
elife-91243-v1	compelling	fundamental
elife-96841-v1	solid	valuable
elife-94929-v1	compelling	important
elife-96997-v1	convincing	important
elife-89361-v1	convincing	important
elife-97356-v1	solid	important
elife-99854-v1	compelling	valuable
elife-102592-v1	convincing	important
elife-88916-v1	convincing	valuable
elife-97615-v1	convincing	important
elife-88671-v1	solid	important
elife-93405-v1	incomplete	valuable
elife-89023-v1	convincing	important
elife-95480-v1	compelling	important
elife-92672-v1	convincing	valuable
elife-97507-v1	solid	important
elife-91642-v1	compelling	valuable
elife-100569-v1	compelling	fundamental
elife-97504-v1	compelling	important
elife-99424-v1	convincing	valuable
elife-92499-v1	solid	important
elife-89851-v1	incomplete	valuable
elife-92519-v1	convincing	fundamental
elife-96424-v1	incomplete	valuable
elife-98450-v1	convincing	valuable
elife-96933-v1	convincing	important
elife-97184-v1	compelling	important
elife-98056-v1	convincing	fundamental
elife-98531-v1	compelling	fundamental
elife-97255-v1	convincing	valuable
elife-97051-v1	convincing	valuable
elife-93493-v1	convincing	important
elife-88584-v1	compelling	fundamental
elife-91663-v1	convincing	important
elife-97348-v1	convincing	fundamental
elife-93830-v1	solid	valuable
elife-97503-v1	convincing	valuable
elife-93004-v1	convincing	important
elife-102702-v1	compelling	important
elife-88614-v1	convincing	valuable
elife-88319-v1	convincing	important
elife-96951-v1	solid	valuable
elife-98148-v1	convincing	valuable
elife-98540-v1	compelling	important
elife-91522-v1	convincing	valuable
elife-90254-v1	convincing	important
elife-100446-v1	incomplete	valuable
elife-87120-v1	convincing	important
elife-94703-v1	solid	valuable
elife-91980-v1	solid	valuable
elife-94706-v1	solid	valuable
elife-97793-v1	convincing	important
elife-94342-v1	compelling	important
elife-100433-v1	incomplete	useful
elife-98449-v1	solid	valuable
elife-92380-v1	compelling	important
elife-95172-v1	convincing	valuable
elife-90875-v1	solid	important
elife-97188-v1	compelling	important
elife-96357-v1	solid	important
elife-101483-v1	convincing	important
elife-101069-v1	convincing	important
elife-95338-v1	convincing	important
elife-93060-v1	convincing	important
elife-87301-v1	solid	important
elife-92940-v1	convincing	important
elife-89519-v1	solid	valuable
elife-96665-v1	convincing	valuable
elife-100764-v1	convincing	valuable
elife-97827-v1	incomplete	valuable
elife-96017-v1	convincing	important
elife-92438-v1	compelling	important
elife-88024-v1	solid	valuable
elife-98747-v1	convincing	valuable
elife-98716-v1	compelling	important
elife-97665-v1	compelling	important
elife-98266-v1	solid	valuable
elife-96025-v1	convincing	important
elife-87083-v1	incomplete	useful
elife-96582-v1	incomplete	useful
elife-96353-v1	convincing	important
elife-97598-v1	solid	important
elife-92404-v1	solid	important
elife-88224-v1	solid	important
elife-92775-v1	solid	important
elife-89543-v1	incomplete	important
elife-97954-v1	solid	useful
elife-96695-v1	solid	useful
elife-96085-v1	convincing	important
elife-96953-v1	compelling	important
elife-94689-v1	solid	valuable
elife-95346-v1	incomplete	useful
elife-87736-v1	convincing	important
elife-97231-v1	convincing	important
elife-93423-v1	convincing	useful
elife-96893-v1	compelling	important
elife-99303-v1	compelling	important
elife-94214-v1	solid	valuable
elife-96812-v1	solid	important
elife-91648-v1	incomplete	valuable
elife-98922-v1	solid	important
elife-93689-v1	convincing	important
elife-94347-v1	incomplete	valuable
elife-91988-v1	compelling	important
elife-99782-v1	compelling	landmark
elife-91722-v1	solid	useful
elife-99018-v1	convincing	valuable
elife-95672-v1	convincing	important
elife-96425-v1	solid	valuable
elife-92025-v1	convincing	important
elife-93242-v1	convincing	valuable
elife-97399-v1	solid	useful
elife-98031-v1	convincing	valuable
elife-95044-v1	exceptional	fundamental
elife-92820-v1	compelling	fundamental
elife-99575-v1	convincing	important
elife-89606-v1	solid	important
elife-100282-v1	incomplete	important
elife-93792-v1	solid	important
elife-97279-v1	solid	valuable
elife-96470-v1	solid	important
elife-93428-v1	convincing	useful
elife-94657-v1	solid	valuable
elife-98169-v1	solid	useful
elife-87962-v1	solid	important
elife-95595-v1	solid	valuable
elife-97674-v1	convincing	valuable
elife-95170-v1	solid	valuable
elife-99809-v1	solid	valuable
elife-96962-v1	convincing	important
elife-89724-v1	compelling	important
elife-90191-v1	solid	useful
elife-94908-v1	convincing	valuable
elife-96266-v1	convincing	fundamental
elife-97033-v1	compelling	important
elife-97298-v1	solid	important
elife-90695-v1	convincing	important
elife-101221-v1	incomplete	important
elife-87668-v1	convincing	fundamental
elife-97854-v1	solid	valuable
elife-95764-v1	compelling	fundamental
elife-96178-v1	convincing	important
elife-98366-v1	incomplete	useful
elife-89815-v1	solid	valuable
elife-89582-v1	solid	valuable
elife-94743-v1	compelling	useful
elife-93766-v1	compelling	important
elife-99000-v1	convincing	important
elife-95314-v1	compelling	important
elife-90930-v1	solid	useful
elife-96755-v1	convincing	important
elife-93232-v1	compelling	valuable
elife-96155-v1	solid	valuable
elife-98458-v1	compelling	fundamental
elife-92737-v1	incomplete	valuable
elife-97883-v1	convincing	important
elife-95846-v1	convincing	important
elife-96957-v1	compelling	important
elife-95213-v1	solid	important
elife-98853-v1	convincing	important
elife-95873-v1	incomplete	important
elife-93673-v1	compelling	valuable
elife-98489-v1	solid	useful
elife-92860-v1	convincing	important
elife-89755-v1	solid	important
elife-92074-v1	compelling	fundamental
elife-98524-v1	compelling	fundamental
elife-93795-v1	compelling	important
elife-94811-v1	incomplete	useful
elife-90422-v1	compelling	important
elife-93172-v1	convincing	important
elife-99858-v1	convincing	important
elife-96942-v1	compelling	important
elife-92344-v1	compelling	valuable
elife-99643-v1	convincing	valuable
elife-88322-v1	compelling	fundamental
elife-92914-v1	convincing	important
elife-88414-v1	solid	important
elife-93115-v1	convincing	important
elife-88958-v1	solid	useful
elife-92085-v1	exceptional	fundamental
elife-87780-v1	solid	important
elife-90603-v1	compelling	valuable
elife-95852-v1	convincing	important
elife-89572-v1	convincing	important
elife-94242-v1	solid	valuable
elife-97088-v1	convincing	valuable
elife-99150-v1	solid	important
elife-96592-v1	convincing	important
elife-96161-v1	convincing	valuable
elife-87258-v1	solid	valuable
elife-92854-v1	compelling	important
elife-98534-v1	convincing	valuable
elife-96576-v1	compelling	fundamental
elife-94658-v1	incomplete	valuable
elife-98648-v1	convincing	important
elife-90976-v1	convincing	important
elife-99173-v1	solid	important
elife-95811-v1	convincing	valuable
elife-91994-v1	solid	important
elife-88456-v1	convincing	important
elife-100083-v1	compelling	fundamental
elife-88318-v1	convincing	fundamental
elife-90893-v1	solid	important
elife-93369-v1	solid	valuable
elife-95999-v1	convincing	valuable
elife-96988-v1	incomplete	useful
elife-93312-v1	solid	useful
elife-95453-v1	incomplete	useful
elife-88981-v1	convincing	important
elife-93855-v1	convincing	valuable
elife-93981-v1	convincing	important
elife-87455-v1	solid	important
elife-96543-v1	solid	important
elife-94970-v1	solid	valuable
elife-90859-v1	convincing	fundamental
elife-95402-v1	compelling	fundamental
elife-94520-v1	compelling	important
elife-92201-v1	convincing	valuable
elife-95371-v1	convincing	important
elife-97896-v1	convincing	valuable
elife-92464-v1	solid	valuable
elife-96459-v1	compelling	valuable
elife-94795-v1	convincing	important
elife-95678-v1	incomplete	valuable
elife-95891-v1	convincing	important
elife-98841-v1	compelling	fundamental
elife-92982-v1	solid	valuable
elife-90624-v1	compelling	fundamental
elife-94558-v1	solid	valuable
elife-96575-v1	solid	valuable
elife-99282-v1	compelling	important
elife-92925-v1	convincing	valuable
elife-89873-v1	convincing	important
elife-97754-v1	convincing	valuable
elife-98844-v1	compelling	important
elife-99026-v1	incomplete	useful
elife-90100-v1	incomplete	important
elife-100987-v1	convincing	important
elife-93656-v1	compelling	fundamental
elife-92915-v1	solid	important
elife-98300-v1	convincing	important
elife-96831-v1	convincing	valuable
elife-95160-v1	convincing	important
elife-100821-v1	compelling	important
elife-89701-v1	convincing	valuable
elife-91304-v1	solid	valuable
elife-94833-v1	convincing	important
elife-88813-v1	incomplete	valuable
elife-97602-v1	compelling	valuable
elife-96190-v1	convincing	useful
elife-95285-v1	compelling	important
elife-92870-v1	solid	valuable
elife-90465-v1	solid	valuable
elife-93534-v1	convincing	important
elife-97201-v1	incomplete	useful
elife-95774-v1	convincing	fundamental
elife-96445-v1	incomplete	useful
elife-96738-v1	convincing	important
elife-94001-v1	compelling	important
elife-96224-v1	solid	important
elife-92994-v1	convincing	valuable
elife-98070-v1	solid	important
elife-98949-v1	solid	useful
